check	observed	interpretation	source
q20 operator checks	200/200	All q20 endpoint/operator combinations passed	joint_seed_robustness_audit_summary.tsv
Cutoff invariance of qualitative results	16/16	Modal qualitative result unchanged from q05 through q20	joint_seed_robustness_audit_summary.tsv
Seed-weighted versus unique-endpoint modal agreement	48/48	Exact deduplication did not change any audited modal conclusion	joint_seed_robustness_audit_summary.tsv
Primary q10 exact endpoint counts	C01: 50/50; C02: 16/50	Multiplicity is substantial for C02 and must be reported	joint_unique_parameter_endpoint_counts.tsv
Full-range panel contracts	6/6 passed	All current context/mode/family full-range panels passed	full_range_panel_validation.tsv
Stochastic-passage implementation tests	30/30 passed	Determinism, resume, RNG, allocation and external-reference checks passed	stochastic_passage_validation.tsv
Weak-gap cells with at least 90% endpoint regime consensus in vivo C01	99.96%	Fraction of weak-gap cells with at least 90% endpoint agreement	supp_figure7-3_weak_gap_pair_summary.tsv (legacy filename alias)
Weak-gap cells with at least 90% endpoint regime consensus in vivo C02	99.94%	Fraction of weak-gap cells with at least 90% endpoint agreement	supp_figure7-3_weak_gap_pair_summary.tsv (legacy filename alias)
Weak-gap cells with at least 90% endpoint regime consensus in vitro C01	99.45%	Fraction of weak-gap cells with at least 90% endpoint agreement	supp_figure7-3_weak_gap_pair_summary.tsv (legacy filename alias)
Weak-gap cells with at least 90% endpoint regime consensus in vitro C02	99.86%	Fraction of weak-gap cells with at least 90% endpoint agreement	supp_figure7-3_weak_gap_pair_summary.tsv (legacy filename alias)
